name,id,script,desc,icon,order
Population,population_5,com.fs.starfarer.api.impl.campaign.econ.Population,$market is home to hundreds of thousands of people.,graphics/icons/markets/population05.png,20
Population,population_6,com.fs.starfarer.api.impl.campaign.econ.Population,The population of $market is in the millions.,graphics/icons/markets/population06.png,20
Population,population_7,com.fs.starfarer.api.impl.campaign.econ.Population,$market is a world of tens of millions.,graphics/icons/markets/population07.png,20
Population,population_8,com.fs.starfarer.api.impl.campaign.econ.Population,$market is one of the few worlds in the Sector with a population of hundreds of millions.,graphics/icons/markets/population08.png,20
Population,population_9,com.fs.starfarer.api.impl.campaign.econ.Population,"A precious refuge for humanity in a dangerous galaxy, $market is home to billions of souls.",graphics/icons/markets/population09.png,20
Population,population_10,com.fs.starfarer.api.impl.campaign.econ.Population,"$market is a dominant population center in the Sector, a rival to Old Earth as home to tens of billions of humans.",graphics/icons/markets/population10.png,20
,,,,,
,,,,,
,,,,,
# event-related market conditions,,,,,
Food Shortage,event_food_shortage,com.fs.starfarer.api.impl.campaign.econ.FoodShortage,"There's a temporary lack of available food on $market.
- Stability reduced by $stabilityPenalty
- Approximately $neededFood units of food needed to end shortage
- Food prices increased due to lowered food supply
- Increased reputation and experience from selling food",graphics/icons/markets/food_shortage.png,1000
Recent Unrest,recent_unrest,com.fs.starfarer.api.impl.campaign.econ.RecentUnrest,"$market has recently experienced unrest of some sort. While whatever event caused the unrest is over, its effects still linger.

- Stability reduced by $stabilityPenalty",graphics/icons/markets/recent_unrest.png,1000
Trade Disruption,event_trade_disruption,com.fs.starfarer.api.impl.campaign.econ.TradeDisruption,"Trade fleets going to or from $market are taking significant losses. Piracy or war are most likely to blame.

The following commodities are affected:
$commoditySummary",graphics/icons/markets/trade_disruption.png,1000
Smuggling,event_smuggling,com.fs.starfarer.api.impl.campaign.econ.Smuggling,"$market is experiencing a high volume of smuggling activity.

- Stability reduced by $smugglingPenalty",graphics/icons/markets/smuggling.png,1000
Bounty,event_bounty,com.fs.starfarer.api.impl.campaign.econ.SystemBounty,"$market is offering a bounty for the destruction of any fleets belonging to an enemy of $theMarketFaction. The bounty starts at $baseBounty credits per frigate, and goes up for larger ship classes.

$market will continue to offer the bounty for $daysLeft day(s).",graphics/icons/markets/bounty.png,1000
,,,,,
,,,,,
# procgen conditions,,,,,
Habitable,habitable,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,Human beings can survive unprotected exposure to the surface conditions of $market.,graphics/icons/markets/habitable.png,10
,,,,,
,,,,,
Scattered Ruins,ruins_scattered,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"This world was only lightly touched by the great project of the Domain before the collapse. Only scattered, broken domes remain, perchance holding lost caches of valuable materials.",graphics/icons/markets/ruins_scattered.png,100
Widespread Ruins,ruins_widespread,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Widespread ruins, blips from radiation sources, and the distinctive burred radar-ping of foamed cerametal structures can be found across $market, evidence of a small but concerted colonization effort dating to the late expansion period of the Domain.",graphics/icons/markets/ruins_widespread.png,100
Extensive Ruins,ruins_extensive,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Ruined cities can be found across the surface of $market, spilling from their broken hearts pitted roadways and crumbling magrail lines to the skeletons of factories, aquaponics domes, and comm-towers.",graphics/icons/markets/ruins_extensive.png,100
Vast Ruins,ruins_vast,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market is covered in vast ruins; cities, factories, mines, farms, homes. The dead are in dread abundance, entwined with salvageable materials, goods, tools, and weapons. This world is a tomb for the hubris of the Domain's project of galactic colonization and hegemony. ",graphics/icons/markets/ruins_vast.png,100
,,,,,
,,,,,
Cold,cold,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The low temperatures found on $market necessitates specialized equipment to perform normal operations, complicating life support and infrastructure.",graphics/icons/markets/cold.png,25
Extreme Cold,very_cold,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Extreme cold necessitates specialized equipment and protocol to perform operations safely on $market, complicating logistics, life support, and infrastructure.",graphics/icons/markets/cold_extreme.png,25
,,,,,
Hot,hot,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The high temperature conditions of $market necessitates specialized equipment to perform normal operations, complicating life support and infrastructure.",graphics/icons/markets/hot.png,25
Extreme Heat,very_hot,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Extreme heat necessitates specialized equipment and protocol to safely operate on $market, seriously complicating logistics, life support, and long-term stability of infrastructure.",graphics/icons/markets/hot_extreme.png,25
,,,,,
,,,,,
Tectonic Activity,tectonic_activity,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The surface of $market is unstable and prone to violent quakes. Any structures require special reinforcement and any excavation will involve a great deal of risk.,graphics/icons/markets/tectonic.png,26
Extreme Tectonic Activtity,extreme_tectonic_activity,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market's crust roils chaotically with extreme quakes and cataclysmic volcanism events. Any operations will require exceptional care and use of many-times redundant warning systems so that the worst dangers can be avoided. Construction on this world can only ever be considered semi-permanent.,graphics/icons/markets/tectonic_extreme.png,26
,,,,,
,,,,,
No Atmosphere,no_atmosphere,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"No appreciable atmosphere exists on $market. Its surface is exposed to the hard weathering of space, a steady drizzle of radiation and micrometeorites.",graphics/icons/markets/atmosphere_none.png,27
Thin Atmosphere,thin_atmosphere,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,A rareified atmosphere clings determinedly to $market's surface.,graphics/icons/markets/atmosphere_thin.png,27
Toxic Atmosphere,toxic_atmosphere,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The atmosphere of $market is exceptionally toxic and corrosive, abrading unprotected surfaces and requiring the hermetic sealing of any inhabited spaces.",graphics/icons/markets/atmosphere_toxic.png,27
Dense Atmosphere,dense_atmosphere,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The surface of $market is shrouded in a thick atmosphere, turbulent vortices at its crown and a cloying soup at its lowest foothold. Sensors are impaired, and operations must be made with care.",graphics/icons/markets/atmosphere_dense.png,27
,,,,,
,,,,,
Mild Climate,mild_climate,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The climate of $market is welcoming and docile; a light mist greets each sunrise before retreating into soft clouds that glow appealingly at every sunset.,graphics/icons/markets/climate_mild.png,28
Extreme Weather,extreme_weather,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Violent storms bristling lightning rage across the skies of $market. Though a sublime beauty from orbit, this produces harsh surface conditions making transportation and habitation highly inconvenient.",graphics/icons/markets/weather_extreme.png,28
,,,,,
Low Gravity,low_gravity,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Gravity is exceptionally low, though significantly above zero-g, on the surface of $market. Workflow and operation of (relatively) heavy machinery is complicated by the non-standard procedures required to deal with altered conditions of friction, weight, and pressure dynamics.",graphics/icons/markets/gravity_low.png,24
High Gravity,high_gravity,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The force of gravity on the surface of $market is crushingly high. Humans require powered exoskeletons for regular movement and find even basic actions exhausting. Continual habitation is grueling at best. All operations take place with a heightened danger of falls and - if specialized engineering is not performed with adequete paranoia - structural collapse.,graphics/icons/markets/gravity_high.png,24
,,,,,
Irradiated,irradiated,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The surface of $market is ravaged by radiation. Any living being must be confined to a shielded habitat to live for long here. Unhardened circuits and nanoscale materials or machinery will also rapidly fail in these harsh conditions.,graphics/icons/markets/irradiated.png,29
,,,,,
,,,,,
Inimical Biosphere,inimical_biosphere,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The biosphere of $market is deadly to unprotected human beings. While the conditions are fascinating to biological scientists, surface technicians are hampered by strict quarantine protocols when carrying out normal tasks.",graphics/icons/markets/inimical_biosphere.png,30
,,,,,
Water-covered Surface,water_surface,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"This is an ocean world with no substantial solid surface to land, walk, or build upon. Operations are complicated by the need for specialized training and equipment.",graphics/icons/markets/water_covered.png,31
,,,,,
Poor Light,poor_light,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The light of $market's primary only provides feeble illumination and energy to this world.,graphics/icons/markets/poor_light.png,32
Darkness,dark,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The surface of $market is dark and full of shadow, receiving effectively zero illumination from its primary.",graphics/icons/markets/darkness.png,32
,,,,,
Meteor Impacts,meteor_impacts,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"This world is bombarded at an appalling rate by regular meteor-showers. Any human inhabitant, however temporary, must keep a wary eye skyward. Any permanent installations would be best buried deep and well fortified.",graphics/icons/markets/meteor_impacts.png,33
,,,,,
,,,,,
Pollution,pollution,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Human industry has left this world filled with dioxins, sulphur compounds, ash, and the steady ticking of decaying radioactive dust. Scraps of plastic cling to shards of foam-metal, the sky tuned to a dead channel.",graphics/icons/markets/pollution.png,110
,,,,,
,,,,,
Sparse Ore Deposits,ore_sparse,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"A few sparse ore deposits exist here, but they are more of academic than industrial interest for their extraction is barely economical.",graphics/icons/markets/ore_sparse.png,50
Moderate Ore Deposits,ore_moderate,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market contains moderate ore deposits that, under the right economic conditions, could be profitably exploited.",graphics/icons/markets/ore_moderate.png,50
Abundant Ore Deposits,ore_abundant,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Abundant, widespread, and profitably extractable ore deposits can be found on $market.",graphics/icons/markets/ore_abundant.png,50
Rich Ore Deposits,ore_rich,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,Rich mineral deposits form a thick lattice within the crust of $market but require an ambitious industrialist to exploit them for fabulous profit.,graphics/icons/markets/ore_rich.png,50
Ultrarich Ore Deposits,ore_ultrarich,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,Mineral wealth exists on Midas-touched $market beyond the wildest fantasies of the legendary mining megacorps of the Domain era.,graphics/icons/markets/ore_ultrarich.png,50
,,,,,
,,,,,
Sparse Rare Ore Deposits,rare_ore_sparse,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"A few sparse transplutonic ore deposits exist here, but they are more of academic than industrial interest for their extraction is barely economical.",graphics/icons/markets/rareore_sparse.png,60
Moderate Rare Ore Deposits,rare_ore_moderate,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market contains modest transplutonic deposits that, with sustained industry and investment, could be profitably tapped.",graphics/icons/markets/rareore_moderate.png,60
Abundant Rare Ore Deposits,rare_ore_abundant,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Abundant transplutonic deposits lay within the crust of $market, enough to fuel the ambitions of any worthwhile warlord or magnate.",graphics/icons/markets/rareore_abundant.png,60
Rich Rare Ore Deposits,rare_ore_rich,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Thick bands of transplutonics spread with glorious profusion through the crust of $market, promising great and potent power to they who would but reach out and take them.",graphics/icons/markets/rareore_rich.png,60
Ultrarich Rare Ore Deposits,rare_ore_ultrarich,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The transplutonic deposits glimmering with unbelievable density on the sensor-grid evoke portents of a power which could forge mighty war-fleets to burn worlds to ash -- or an eon of splendour and wealth for a polity of crystal towers as existed in the pre-collapse cycles of the Domain.,graphics/icons/markets/rareore_ultrarich.png,60
,,,,,
,,,,,
Trace Volatiles,volatiles_trace,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The trace volatiles found here barely warrant harvesting.,graphics/icons/markets/volatiles_trace.png,40
Diffuse Volatiles,volatiles_diffuse,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Diffuse volatiles can be found here, and may be sufficient for industrial extraction.",graphics/icons/markets/volatiles_diffuse.png,40
Abundant Volatiles,volatiles_abundant,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,Abundant volatiles may be economically extracted from $market.,graphics/icons/markets/volatiles_abundant.png,40
Plentiful Volatiles,volatiles_plentiful,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market is a world-sized wellspring of volatiles rich, deep, and potent.",graphics/icons/markets/volatiles_plentiful.png,40
,,,,,
,,,,,
Trace Organics,organics_trace,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market is nearly barren of organics reserves, though some extraction is possible.",graphics/icons/markets/organics_trace.png,38
Common Organics,organics_common,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,Economically exploitable reserves of organics can be found on $market.,graphics/icons/markets/organics_common.png,38
Abundant Organics,organics_abundant,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,A river of wealth flows beneath the surface of $market - for those that would find and tap it.,graphics/icons/markets/organics_abundant.png,38
Plentiful Organics,organics_plentiful,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Reservoirs of valuable organics burst through the surface of $market in gouts over deep, dark pools that promise oceans of wealth to be found just below.",graphics/icons/markets/organics_plentiful.png,38
,,,,,
,,,,,
Poor Farmland,farmland_poor,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,Plant life grows only stunted and wearily here. It would require farmers with talent equal to their desperation to make these lands bear fruit.,graphics/icons/markets/farmland_poor.png,70
Adequate Farmland,farmland_adequate,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,A robust terran-compatible biosphere allows agricultural cultivation to take place on $market.,graphics/icons/markets/farmland_adequate.png,70
Rich Farmland,farmland_rich,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The fields of $market promise a rich harvest to reward the farmers that work these fertile lands.,graphics/icons/markets/farmland_rich.png,70
Bountiful Farmland,farmland_bountiful,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market is a veritable Eden; flowering, riotous, lush, and luminous with plant life. Branches hang low, laden with fruit; fields of golden grain shimmer in the herbaceous breeze.",graphics/icons/markets/farmland_bountiful.png,70
